,path,tru,gac,sax,cel,flu,gel,vio,cla,pia,org,voi
0,IRMAS_Training_Data/tru/[tru][cla]1951__2.wav,1,0,0,0,0,0,0,0,0,0,0
1,IRMAS_Training_Data/tru/[tru][pop_roc]2053__2.wav,1,0,0,0,0,0,0,0,0,0,0
2,IRMAS_Training_Data/tru/[tru][jaz_blu]2028__1.wav,1,0,0,0,0,0,0,0,0,0,0
3,IRMAS_Training_Data/tru/[tru][pop_roc]1895__2.wav,1,0,0,0,0,0,0,0,0,0,0
4,IRMAS_Training_Data/tru/[tru][cla]2005__2.wav,1,0,0,0,0,0,0,0,0,0,0
5,IRMAS_Training_Data/tru/[tru][jaz_blu]1943__1.wav,1,0,0,0,0,0,0,0,0,0,0
6,IRMAS_Training_Data/tru/[tru][cla]1893__3.wav,1,0,0,0,0,0,0,0,0,0,0
7,IRMAS_Training_Data/tru/[tru][jaz_blu]1978__1.wav,1,0,0,0,0,0,0,0,0,0,0
8,IRMAS_Training_Data/tru/[tru][jaz_blu]2031__3.wav,1,0,0,0,0,0,0,0,0,0,0
9,IRMAS_Training_Data/tru/[tru][jaz_blu]1971__3.wav,1,0,0,0,0,0,0,0,0,0,0
10,IRMAS_Training_Data/tru/[tru][cla]1898__1.wav,1,0,0,0,0,0,0,0,0,0,0
11,IRMAS_Training_Data/tru/[tru][pop_roc]2049__1.wav,1,0,0,0,0,0,0,0,0,0,0
12,IRMAS_Training_Data/tru/[tru][cla]2082__3.wav,1,0,0,0,0,0,0,0,0,0,0
13,IRMAS_Training_Data/tru/141__[tru][dru][jaz_blu]1982__3.wav,1,0,0,0,0,0,0,0,0,0,0
14,IRMAS_Training_Data/tru/[tru][pop_roc]1944__2.wav,1,0,0,0,0,0,0,0,0,0,0
15,IRMAS_Training_Data/tru/[tru][cla]2015__1.wav,1,0,0,0,0,0,0,0,0,0,0
16,IRMAS_Training_Data/tru/[tru][cla]2003__1.wav,1,0,0,0,0,0,0,0,0,0,0
17,IRMAS_Training_Data/tru/[tru][pop_roc]1980__3.wav,1,0,0,0,0,0,0,0,0,0,0
18,IRMAS_Training_Data/tru/[tru][jaz_blu]2056__1.wav,1,0,0,0,0,0,0,0,0,0,0
19,IRMAS_Training_Data/tru/[tru][pop_roc]1931__1.wav,1,0,0,0,0,0,0,0,0,0,0
20,IRMAS_Training_Data/tru/[tru][jaz_blu]1914__1.wav,1,0,0,0,0,0,0,0,0,0,0
21,IRMAS_Training_Data/tru/[tru][pop_roc]2039__3.wav,1,0,0,0,0,0,0,0,0,0,0
22,IRMAS_Training_Data/tru/[tru][pop_roc]1955__3.wav,1,0,0,0,0,0,0,0,0,0,0
